 231  5           Tysk [4777244190129592091, article]
 232  4         Referat [1517601085406283206, navigationpage]
 233  5           Arabisk [5627965717097720480, article]
 234  5           Engelsk [5627965717097720485, article]
 235  5           Fransk [5627965717097720490, article]
 236  5           Italiensk [1142652397874295629, article]
 237  5           Japansk [6213897223504180515, article]
 238  5           Russisk [682701433615373982, article]
 239  5           Spansk språk og latinamerikastudium [1102024046968754244, article]
 240  5           Språk og interkulturell kommunikasjon (SPIK) [5627965717097720496, article]
 241  5           Tysk [6000014203857262776, article]
 242  2     Instituttleiing [1130768816410897593, article]
 243  2     Informasjon til tilsette [7722300888777974190, navigationpage]
 244  3       Utlyste kurs, seminarer m.m. [4551421444603120640, navigationpage]
 245  4         Irigaray Circle Conference 2013  ved UiB,   5-7 Juni 2013 [3090771190085741653, article, DUPLICATE #108]
 246  4         Sakarya University: INTERNATIONAL CONFERENCE ON NEW HORIZONS IN EDUCATION INTE 2013 ROME - ITALY [4130063005319467152, article, DUPLICATE #109]
 247  4         Forskningsprosjekt ved UiB: The purpose of higher education among Norwegian and North American professors teaching in Norwegian universities.  [5112766499991261361, article]
 248  3       Forskningslederopplæring ved UiO 2012 [879282603711899026, article]
 249  3       Nominering av nye publiseringskanaler [5957780384857801319, article]
 250  3       Retningsliner og rutinar [4075757816326225897, navigationpage]
 251  4         Nettspanskkoordinatorer [101327776101923139, article]
 252  4         Programkoordinatorer [101327776101923148, article]
 253  4         Retningsliner for emneansvarlege [7200700298046531182, article]
 254  4         Retningsliner for forskingsleiar [8698547262572954121, article]
 255  4         Retningsliner for fagkoordinatorar ved Institutt for framandspråk [3610677970213905060, article]
 256  4         Retningsliner for undervisningsleiar [2490301376549431171, article]
 257  4         Faglig-pedagogisk dag 3. februar 2012 [2462983729622421773, article]
 258  3       Visittkort med bilde [2337788401889251679, article]
 259  2     HMS [8084063867083919235, navigationpage]
 260  3       HMS-ansvarlege [3979993321568001291, article]
 261  3       HMS-handlingsplan ved IF [3965575959430935506, article]
 262  3       Verneombud og brannvernansvarlige ved IF [1274473457021784969, article]
 263  2     Fagkoordinatorar våren 2013 [8180732849181119340, article]
 264  2     Kven gjer kva i administrasjonen [7855857166316745180, navigationpage]
 265  3       Turid Daae [1961550484973098618, article]
 266  3        Hilde Elin Haaland-Kramer [1961550484973098627, article]
 267  3       Anne Hestnes [1961550484973098598, article]
 268  3       Marit Hjelle [1880422659113033543, article]
 269  3       Jan A. Johansen [1961550484973098609, article]
 270  3       Anna Polster [8032362873384986792, article]
 271  3       Gita Pattanaik Rongevær [6463628702176513112, article]
 272  3       Kari Soriano Salkjelsvik  [5945581849024703350, article]
 273  3       Guro Sandnes [8137119021302766319, article]
 274  3       Kristin Torp Skogedal [5935233027469245018, article]
 275  3       Arve Kjell Uthaug [4512967932195002265, article]
 276  2     Husreglar [3701706898924317755, navigationpage]
 277  3       Adresser og post [7102216225995870249, article]
 278  3       Arbeidstid, ferie, fråvær og sjukdom [2171788654137374567, article]
